task_precision,task_recall,task_f1,time_exact_accuracy,time_close_accuracy_5m,time_close_accuracy_10m,duration_close_accuracy,start_mae_minutes,overlap_same_robot_count,predicted_tasks,true_tasks,matched_tasks,database_id,robot_id,target_week,num_alternative_schedules
100.0,83.07692307692308,90.75630252100841,50.0,53.70370370370371,55.55555555555556,100.0,221.2962962962963,0.0,54.0,65.0,54.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-01 00:00:00+02:00,2
91.54929577464789,76.47058823529412,83.33333333333333,60.0,61.53846153846154,63.07692307692307,100.0,52.53846153846154,0.0,71.0,85.0,65.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-08 00:00:00+02:00,2
100.0,89.28571428571429,94.33962264150945,30.666666666666664,30.666666666666664,36.0,100.0,138.8,4.0,75.0,84.0,75.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-15 00:00:00+02:00,2
98.64864864864865,86.90476190476191,92.40506329113924,46.57534246575342,49.31506849315068,53.42465753424658,100.0,170.13698630136986,2.0,74.0,84.0,73.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-22 00:00:00+02:00,2
84.05797101449275,100.0,91.33858267716535,25.862068965517242,25.862068965517242,27.586206896551722,100.0,310.7758620689655,0.0,69.0,58.0,58.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-29 00:00:00+01:00,2
100.0,94.9367088607595,97.40259740259741,33.33333333333333,34.66666666666667,34.66666666666667,100.0,588.4,1.0,75.0,79.0,75.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-05 00:00:00+01:00,2
87.8048780487805,90.0,88.8888888888889,40.27777777777778,40.27777777777778,43.05555555555556,100.0,325.1388888888889,3.0,82.0,80.0,72.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-12 00:00:00+01:00,2
100.0,92.13483146067416,95.90643274853802,37.80487804878049,37.80487804878049,39.02439024390244,100.0,278.8414634146341,2.0,82.0,89.0,82.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-19 00:00:00+01:00,2
89.1891891891892,100.0,94.28571428571428,36.36363636363637,36.36363636363637,36.36363636363637,100.0,453.3333333333333,5.0,74.0,66.0,66.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-26 00:00:00+01:00,2
91.78082191780823,83.75,87.58169934640524,58.2089552238806,58.2089552238806,58.2089552238806,100.0,155.1492537313433,0.0,73.0,80.0,67.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-03 00:00:00+01:00,2
82.66666666666667,78.48101265822784,80.51948051948051,64.51612903225806,66.12903225806451,69.35483870967742,100.0,25.080645161290324,1.0,75.0,79.0,62.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-10 00:00:00+01:00,2
96.42857142857143,89.01098901098901,92.57142857142856,38.2716049382716,43.20987654320987,46.913580246913575,100.0,152.53086419753086,2.0,84.0,91.0,81.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-17 00:00:00+01:00,2
89.04109589041096,92.85714285714286,90.9090909090909,58.46153846153847,60.0,60.0,100.0,140.76923076923077,2.0,73.0,70.0,65.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-24 00:00:00+01:00,2
84.50704225352112,100.0,91.6030534351145,51.66666666666667,51.66666666666667,53.333333333333336,100.0,178.91666666666666,0.0,71.0,60.0,60.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-31 00:00:00+01:00,2
